id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
25f7f495-3025-463c-97f5-0441f3ae7a03,GBKK,Summit,Competitive,Chamber,Centinela,17,5,17,13,"['14 Sαriitα', '14 Adrıvnn', 'carvalhexxx', 'Kinits21']",Silver,3,"['Sage', 'Phoenix', 'Breach', 'Harbor', 'Chamber']",265.9,5,3,0,7,13,1787523898,"Sunday, August 23, 2026 10:24 PM"
c01d4a58-53a5-49a2-b731-d33a45c12637,GBKK,Split,Competitive,Chamber,Centinela,22,2,16,10,"['FireX38', 'cursedblade', 'Soru', 'LeSangDeTesmorts']",Silver,3,"['Reyna', 'Veto', 'Astra', 'Jett', 'Chamber']",289.227,3,2,0,9,13,1787521472,"Sunday, August 23, 2026 09:44 PM"
bedaa0ee-5d1d-41d0-b929-ed5ec0ce4d02,GBKK,Haven,Competitive,Chamber,Centinela,16,4,11,8,"['JOB APPLICATION', 'ScoutSpot', 'i miss old me', 'kakarotMUI']",Silver,3,"['Reyna', 'Cypher', 'Tejo', 'Clove', 'Chamber']",241.0,3,3,1,13,6,1787519490,"Sunday, August 23, 2026 09:11 PM"
89697cf7-2e42-4457-8938-69cc706faf53,GBKK,Haven,Competitive,Chamber,Centinela,19,6,16,14,"['RODR1', 'xivitoo', 'MissMeri', 'frVamper']",Silver,3,"['Chamber', 'Neon', 'Sage', 'Clove', 'Sova']",270.333,4,4,0,8,13,1787436134,"Saturday, August 22, 2026 10:02 PM"
c7bef244-08ab-47a2-b774-346b73ced305,GBKK,Summit,Competitive,Chamber,Centinela,14,2,19,8,"['grosacamrd', 'Nyxoo', 'Kalyps', 'Crossvolé']",Silver,3,"['Reyna', 'Skye', 'Raze', 'Omen', 'Chamber']",157.308,4,2,1,14,12,1787433313,"Saturday, August 22, 2026 09:15 PM"
c28d400e-02df-4d02-b35d-21b77e1d6bc6,GBKK,Abyss,Competitive,Chamber,Centinela,17,5,16,12,"['raulgalegovirgen', 'Rossamelano', 'Oscarete04', 'dddddddddddddddd']",Silver,3,"['Reyna', 'Sova', 'Jett', 'Clove', 'Chamber']",242.95,2,2,1,13,7,1787586616,"Monday, August 24, 2026 03:50 PM"
53173f35-8b29-488c-9e71-a987377694d2,GBKK,Ascent,Competitive,Omen,Controlador,9,11,20,5,"['angelo15', 'itssluu', 'Agushin', 'CS is better']",Silver,3,"['Killjoy', 'Chamber', 'Jett', 'KAY/O', 'Omen']",128.667,0,1,0,11,13,1787584169,"Monday, August 24, 2026 03:09 PM"
aba63ef8-1609-45f9-b7d5-4620ecdd81ba,GBKK,Split,Competitive,Omen,Controlador,9,7,15,8,"['Wonder Of U', 'Dekuto', 'Big Lix', 'RyoZen']",Silver,3,"['Reyna', 'Jett', 'Fade', 'Veto', 'Omen']",156.368,1,3,1,13,6,1787581971,"Monday, August 24, 2026 02:32 PM"
32467625-d64f-4567-9290-0bc5ec7a3941,GBKK,Split,Competitive,Omen,Controlador,21,2,18,16,"['ilyes 89466', 'Akira Mado', 'Neuclipse', 'MADFAKK']",Silver,3,"['Iso', 'Omen', 'Cypher', 'Skye', 'Jett']",228.174,1,5,1,13,10,1787967532,"Saturday, August 29, 2026 01:38 AM"
c456d2a0-4613-414f-9bd6-fe4898e5adc4,GBKK,Haven,Competitive,Reyna,Duelista,15,4,21,15,"['Bakhary', 'looking4mommy', '3arbi1020', 'Kurapika Kuruta']",Silver,3,"['Brimstone', 'Chamber', 'Reyna', 'Jett', 'Cypher']",218.364,4,3,0,9,13,1787965209,"Saturday, August 29, 2026 01:00 AM"
611e090c-84bb-419d-8073-a2f81a0e2f7d,GBKK,Summit,Competitive,Chamber,Centinela,22,4,12,12,"['Mattdctt', 'Nikitaa', 'Fox', 'Arda']",Silver,3,"['Reyna', 'Jett', 'Miks', 'Sage', 'Chamber']",320.632,4,0,1,13,6,1787963213,"Saturday, August 29, 2026 12:26 AM"
baf1ebd4-a844-407d-92b4-ae3342e79087,GBKK,Split,Competitive,Chamber,Centinela,15,3,12,3,"['RachidLeVoleur', 'paulo', 'brioche44', 'Samutoss']",Gold,1,"['Chamber', 'Fade', 'Clove', 'Reyna', 'Raze']",236.471,3,0,1,13,4,1788014344,"Saturday, August 29, 2026 02:39 PM"
b03992be-9d3a-471b-8cf7-901fd5699539,GBKK,Lotus,Competitive,Gekko,Iniciador,14,2,18,10,"['BOSS DU 93', 'Pendézongratuite', 'Six Bullets', 'ezryk']",Silver,3,"['Gekko', 'Jett', 'Chamber', 'Reyna', 'Clove']",142.231,1,4,2,14,12,1788011595,"Saturday, August 29, 2026 01:53 PM"
e022a47a-8974-46a8-a927-9cbc96b8fe0e,GBKK,Haven,Competitive,Chamber,Centinela,13,2,16,5,"['GNVX', 'COD 3 enjoyer 愛', 'lebro', 'SIMBA']",Gold,1,"['Neon', 'Chamber', 'Jett', 'Skye', 'Miks']",213.647,2,2,0,4,13,1788126455,"Sunday, August 30, 2026 09:47 PM"
a92dc388-ab97-44c2-b298-06c1e1afef3c,GBKK,Lotus,Competitive,Chamber,Centinela,23,3,17,9,"['velow111', 'AverseFoil', 'PAYOSTOS', 'MOSKY DE GOMAR']",Gold,1,"['Jett', 'Chamber', 'Cypher', 'Omen', 'Clove']",254.231,6,2,1,14,12,1788123669,"Sunday, August 30, 2026 09:01 PM"
6e7f3783-a791-44d2-9d49-7f9f4904361b,GBKK,Summit,Competitive,Chamber,Centinela,22,2,17,11,"['Croissant', 'Toutdanslbaltrou', 'chichapepito', 'zoobdecheval']",Gold,1,"['Jett', 'Chamber', 'Omen', 'KAY/O', 'Waylay']",283.0,5,1,0,8,13,1788121576,"Sunday, August 30, 2026 08:26 PM"
aa9c74d4-475e-4c36-a65c-2908ea11d29a,GBKK,Split,Competitive,Chamber,Centinela,10,1,16,4,"['tommy', 'Kratcher', 'stick8o8', 'H O N E Y']",Gold,1,"['Chamber', 'Skye', 'Phoenix', 'Viper', 'Iso']",175.421,1,4,0,6,13,1788889693,"Tuesday, September 08, 2026 05:48 PM"
e1d13f5c-7826-4fd1-80a6-dd868e525b22,GBKK,Split,Competitive,Waylay,Duelista,14,6,20,11,"['davidsrezz', 'Put1noCobarde', 'TM Ivansntn', 'Veroqueen']",Gold,1,"['Miks', 'Sage', 'Killjoy', 'Breach', 'Waylay']",200.318,5,5,0,9,13,1788978321,"Wednesday, September 09, 2026 06:25 PM"
bcf52eab-8f59-4791-aba5-c6c793ed82a6,GBKK,Sunset,Competitive,Chamber,Centinela,18,3,10,7,"['Juniorchito', 'El Cojo Espacial', 'Arenow', 'VΛSCOPΣTΛ']",Gold,1,"['Chamber', 'Reyna', 'Brimstone', 'KAY/O', 'Tejo']",248.25,5,3,1,13,7,1788976402,"Wednesday, September 09, 2026 05:53 PM"
7ca00cf1-b825-4888-8312-4b86ae313c93,GBKK,Ascent,Competitive,Chamber,Centinela,17,7,17,11,"['Harleqin', 'BelleLaRadiance', '许诺嫣', 'lHarleqin']",Gold,1,"['Miks', 'Chamber', 'Sage', 'Jett', 'Reyna']",217.391,2,4,2,13,10,1788973867,"Wednesday, September 09, 2026 05:11 PM"
f885a64d-f7a0-4c44-8ef9-7195395a5b0e,GBKK,Sunset,Competitive,Omen,Controlador,18,8,19,11,"['exod', 'us2', 'slaze字', 'Bridgeos']",Gold,1,"['Omen', 'Breach', 'Jett', 'Chamber', 'Sage']",249.478,1,2,0,10,13,1788980902,"Wednesday, September 09, 2026 07:08 PM"
19ea3a98-9f1e-466a-a791-b928a7cf9471,GBKK,Summit,Competitive,Chamber,Centinela,17,2,15,14,"['Hakai', 'dorkick24', 'guillali', 'CasPerpvt0notas']",Gold,1,"['Omen', 'Cypher', 'Chamber', 'Phoenix', 'Fade']",213.476,0,2,1,13,8,1788983076,"Wednesday, September 09, 2026 07:44 PM"
